pickup,destination,distance,time,passengers,payment_type,temperature,weather_condition,traffic_condition,fare_amount
Lalitpur,Butwal,5.2,13,1,cash,16,rainy,moderate,745
Biratnagar,Birgunj,7.2,16,4,credit card,27,clear,light,1247
Pokhara,Butwal,5.9,55,2,credit card,25,cloudy,moderate,1507
Dharan,Kathmandu,9.4,34,1,credit card,17,rainy,moderate,1705
Patan,Dharan,3.2,30,3,credit card,18,cloudy,heavy,1395
Kathmandu,Bhaktapur,4.4,60,4,cash,22,rainy,light,1338
Butwal,Chitwan,2.5,35,4,credit card,30,clear,moderate,968
Bhaktapur,Pokhara,8.6,53,2,cash,17,cloudy,moderate,1477
Bhaktapur,Lalitpur,2.4,11,2,cash,19,cloudy,moderate,499
Biratnagar,Chitwan,6.9,12,4,credit card,30,clear,heavy,1835
Chitwan,Patan,8.3,23,4,cash,26,clear,heavy,1842
Patan,Bhaktapur,3.7,38,3,credit card,18,cloudy,moderate,1036
Birgunj,Patan,6.3,24,1,cash,19,cloudy,moderate,922
Dharan,Biratnagar,3.2,56,2,credit card,19,cloudy,heavy,1760
Kathmandu,Butwal,6.5,52,1,cash,22,rainy,light,1342
Kathmandu,Patan,8.1,9,2,cash,29,cloudy,light,1018
Patan,Pokhara,8.9,46,2,credit card,15,cloudy,moderate,1690
Bhaktapur,Biratnagar,2.4,18,2,credit card,15,clear,heavy,972
Butwal,Pokhara,9.4,33,4,cash,22,clear,moderate,1429
Chitwan,Biratnagar,4.9,42,3,credit card,22,rainy,heavy,2049
Birgunj,Biratnagar,2.9,36,1,credit card,15,rainy,light,940
Biratnagar,Bhaktapur,8.4,19,3,cash,20,rainy,light,1307
Birgunj,Butwal,8.9,49,4,credit card,16,rainy,light,2061
Kathmandu,Birgunj,1.0,6,2,credit card,18,cloudy,light,341
Dharan,Pokhara,0.7,57,2,credit card,18,cloudy,moderate,920
Birgunj,Pokhara,4.1,10,4,credit card,15,clear,heavy,1290
Lalitpur,Bhaktapur,8.3,22,4,cash,29,rainy,light,1346
Patan,Kathmandu,2.9,28,3,cash,29,cloudy,heavy,1036
Patan,Butwal,4.6,13,2,credit card,28,clear,heavy,1242
Dharan,Pokhara,2.7,30,4,credit card,28,rainy,heavy,1521
Pokhara,Bhaktapur,5.1,50,1,credit card,30,clear,heavy,1918
Lalitpur,Butwal,9.7,59,3,credit card,18,rainy,moderate,2261
Chitwan,Lalitpur,9.1,28,3,cash,20,clear,moderate,1310
Birgunj,Butwal,2.6,53,1,credit card,23,clear,moderate,1041
Kathmandu,Dharan,8.0,37,1,credit card,16,rainy,heavy,2396
Patan,Bhaktapur,3.3,38,4,credit card,29,cloudy,light,1101
Patan,Biratnagar,9.4,26,4,cash,18,clear,moderate,1412
Dharan,Pokhara,7.8,12,3,credit card,27,rainy,moderate,1397
Dharan,Birgunj,3.3,53,4,credit card,30,cloudy,heavy,1876
Lalitpur,Butwal,4.2,47,4,credit card,29,clear,heavy,1969
Bhaktapur,Kathmandu,4.5,57,2,cash,24,rainy,light,1185
Lalitpur,Butwal,4.1,29,4,cash,21,cloudy,light,925
Lalitpur,Patan,0.8,17,1,credit card,21,rainy,light,421
Bhaktapur,Patan,8.8,39,3,credit card,29,cloudy,heavy,2507
Pokhara,Butwal,8.9,43,3,credit card,22,rainy,moderate,1952
Biratnagar,Butwal,7.0,48,3,cash,22,cloudy,moderate,1313
Biratnagar,Bhaktapur,1.9,26,4,cash,25,rainy,light,737
Kathmandu,Bhaktapur,1.8,20,4,cash,16,cloudy,light,579
Butwal,Chitwan,1.4,28,2,cash,22,clear,moderate,472
Butwal,Biratnagar,3.3,16,3,cash,19,rainy,light,730
Biratnagar,Patan,5.4,6,4,cash,24,cloudy,light,806
Butwal,Pokhara,5.5,55,2,credit card,20,cloudy,light,1410
Butwal,Lalitpur,3.3,42,1,cash,27,rainy,moderate,843
Patan,Chitwan,6.5,53,2,cash,18,clear,light,1306
Chitwan,Bhaktapur,3.9,6,1,credit card,15,clear,moderate,558
Biratnagar,Kathmandu,7.1,17,3,credit card,19,rainy,moderate,1331
Pokhara,Biratnagar,3.5,11,1,credit card,20,cloudy,moderate,592
Lalitpur,Birgunj,5.4,31,2,credit card,23,rainy,light,1255
Patan,Pokhara,1.0,17,4,cash,27,clear,heavy,728
Butwal,Dharan,2.9,7,3,credit card,19,rainy,moderate,648
Pokhara,Patan,9.9,11,1,credit card,27,clear,heavy,2094
Patan,Chitwan,6.2,56,2,cash,16,rainy,heavy,2070
Dharan,Butwal,2.0,8,2,credit card,24,cloudy,light,448
Kathmandu,Patan,8.0,17,2,credit card,17,cloudy,heavy,1973
Pokhara,Bhaktapur,4.8,9,4,cash,22,cloudy,moderate,733
Lalitpur,Pokhara,6.1,34,3,credit card,17,rainy,moderate,1453
Butwal,Patan,9.5,42,2,cash,29,rainy,moderate,1642
Kathmandu,Lalitpur,8.3,57,3,credit card,21,cloudy,heavy,2811
Kathmandu,Butwal,3.6,16,4,cash,15,cloudy,light,719
Biratnagar,Birgunj,6.6,22,4,credit card,24,rainy,light,1443
Butwal,Chitwan,7.5,13,4,credit card,27,clear,heavy,1992
Biratnagar,Lalitpur,7.7,35,1,credit card,15,clear,moderate,1360
Bhaktapur,Pokhara,9.8,56,3,cash,18,cloudy,moderate,1736
Bhaktapur,Butwal,9.0,59,2,credit card,19,cloudy,moderate,1858
Biratnagar,Butwal,6.5,17,3,credit card,15,clear,moderate,1178
Bhaktapur,Biratnagar,5.4,23,4,credit card,20,rainy,heavy,1948
Bhaktapur,Birgunj,5.8,28,4,cash,16,cloudy,moderate,1064
Biratnagar,Butwal,9.2,29,3,credit card,16,clear,moderate,1660
Dharan,Bhaktapur,7.4,37,2,credit card,30,rainy,moderate,1579
Kathmandu,Dharan,6.9,50,4,cash,27,cloudy,heavy,2056
Dharan,Patan,3.2,13,3,cash,20,rainy,light,665
Pokhara,Dharan,5.1,35,1,credit card,29,rainy,heavy,1753
Kathmandu,Pokhara,1.3,54,1,credit card,25,rainy,light,991
Bhaktapur,Biratnagar,8.4,45,1,credit card,18,rainy,heavy,2656
Bhaktapur,Pokhara,4.2,25,3,credit card,23,rainy,heavy,1641
Birgunj,Dharan,7.7,23,2,cash,16,cloudy,light,1111
Chitwan,Pokhara,2.9,36,4,cash,22,rainy,moderate,899
Chitwan,Biratnagar,1.5,46,2,credit card,15,rainy,heavy,1386
Lalitpur,Butwal,4.4,13,4,cash,23,clear,moderate,757
Kathmandu,Biratnagar,8.8,6,1,cash,29,rainy,heavy,1595
Bhaktapur,Birgunj,7.0,18,4,credit card,29,cloudy,light,1298
Pokhara,Bhaktapur,1.6,59,1,credit card,30,clear,moderate,1005
Dharan,Kathmandu,5.5,21,1,credit card,18,rainy,moderate,1024
Patan,Birgunj,4.4,30,3,credit card,26,rainy,light,1167
Lalitpur,Dharan,6.3,49,3,cash,30,clear,light,1294
Dharan,Lalitpur,9.8,40,4,cash,17,cloudy,heavy,2323
Birgunj,Bhaktapur,7.3,32,3,credit card,20,clear,heavy,2182
Bhaktapur,Lalitpur,1.0,13,3,cash,21,clear,heavy,592
Chitwan,Pokhara,3.1,52,1,cash,21,rainy,heavy,1448
Dharan,Lalitpur,4.2,28,4,credit card,17,rainy,light,1167
Pokhara,Lalitpur,9.8,40,2,credit card,19,cloudy,light,1823
Pokhara,Bhaktapur,4.2,17,4,credit card,18,rainy,light,1007
Birgunj,Biratnagar,7.7,20,2,credit card,28,clear,light,1292
Birgunj,Kathmandu,6.2,9,2,credit card,18,clear,moderate,989
Patan,Biratnagar,8.4,45,2,credit card,27,clear,heavy,2519
Biratnagar,Lalitpur,3.6,45,2,cash,20,clear,light,891
Birgunj,Bhaktapur,5.6,33,2,credit card,22,cloudy,heavy,1790
Bhaktapur,Dharan,6.0,37,4,credit card,19,clear,light,1374
Biratnagar,Bhaktapur,5.0,10,4,cash,16,clear,moderate,795
Bhaktapur,Lalitpur,6.3,32,4,cash,25,cloudy,moderate,1193
Chitwan,Kathmandu,3.8,28,1,credit card,26,cloudy,heavy,1231
Patan,Bhaktapur,7.4,49,3,cash,18,clear,heavy,2120
Birgunj,Pokhara,1.7,59,3,cash,19,clear,light,896
Biratnagar,Birgunj,4.1,22,3,cash,20,clear,light,769
Lalitpur,Butwal,2.6,5,3,credit card,17,clear,heavy,852
Chitwan,Biratnagar,0.7,17,2,credit card,23,cloudy,moderate,443
Pokhara,Patan,5.3,60,1,cash,26,clear,heavy,1754
Chitwan,Pokhara,8.2,50,2,cash,18,clear,moderate,1399
Kathmandu,Birgunj,5.6,28,2,cash,19,clear,moderate,989
Patan,Chitwan,8.8,6,2,credit card,27,rainy,heavy,2104
Pokhara,Patan,1.0,11,2,cash,18,rainy,light,295
Biratnagar,Kathmandu,4.7,39,2,cash,25,clear,heavy,1479
Butwal,Kathmandu,3.2,55,4,cash,18,cloudy,heavy,1632
Lalitpur,Biratnagar,3.2,44,1,credit card,21,cloudy,light,947
Bhaktapur,Kathmandu,4.3,14,2,cash,16,rainy,moderate,696
Patan,Chitwan,8.0,57,2,credit card,18,cloudy,heavy,2690
Birgunj,Dharan,2.0,39,1,credit card,24,cloudy,light,810
Birgunj,Butwal,8.4,60,1,cash,18,rainy,moderate,1634
Butwal,Birgunj,6.4,47,1,credit card,26,cloudy,moderate,1367
Kathmandu,Lalitpur,7.8,55,1,credit card,27,rainy,heavy,2691
Pokhara,Chitwan,0.6,39,4,credit card,21,rainy,heavy,1304
Butwal,Dharan,9.7,8,2,cash,24,rainy,heavy,1857
Birgunj,Dharan,2.2,50,3,credit card,28,cloudy,heavy,1549
Chitwan,Butwal,0.5,33,2,cash,28,clear,heavy,770
Biratnagar,Pokhara,6.7,48,4,credit card,25,rainy,heavy,2640
Butwal,Dharan,8.6,50,3,credit card,23,cloudy,heavy,2747
Butwal,Kathmandu,3.5,41,2,credit card,27,cloudy,light,987
Patan,Bhaktapur,1.7,52,4,cash,24,cloudy,moderate,872
Kathmandu,Lalitpur,7.5,12,2,cash,24,rainy,light,1105
Birgunj,Kathmandu,4.0,17,1,cash,21,rainy,moderate,671
Chitwan,Lalitpur,5.9,28,4,credit card,16,cloudy,heavy,1940
Butwal,Dharan,6.3,28,1,cash,25,clear,moderate,955
Patan,Biratnagar,6.4,44,3,cash,16,clear,light,1217
Patan,Chitwan,4.6,7,3,cash,28,rainy,heavy,1149
Lalitpur,Kathmandu,8.6,49,1,cash,20,clear,heavy,2143
Butwal,Dharan,1.9,5,3,cash,19,clear,moderate,386
Chitwan,Pokhara,4.9,44,4,cash,17,rainy,light,1210
Pokhara,Kathmandu,9.0,21,2,cash,23,clear,light,1175
Kathmandu,Biratnagar,10.0,42,3,cash,23,clear,light,1611
Dharan,Butwal,7.0,6,1,credit card,16,clear,heavy,1508
Bhaktapur,Lalitpur,5.4,18,2,cash,17,cloudy,moderate,861
Butwal,Kathmandu,5.3,18,3,cash,16,rainy,heavy,1427
Butwal,Pokhara,3.6,24,2,cash,27,clear,light,727
Butwal,Patan,6.6,48,1,credit card,16,cloudy,heavy,2158
Patan,Dharan,2.5,48,4,credit card,27,cloudy,moderate,1151
Chitwan,Kathmandu,3.7,45,2,credit card,19,rainy,heavy,1772
Butwal,Biratnagar,5.2,25,1,cash,30,rainy,moderate,951
Pokhara,Butwal,0.8,15,3,credit card,26,cloudy,heavy,685
Lalitpur,Pokhara,8.6,54,3,cash,16,rainy,light,1677
Bhaktapur,Lalitpur,2.5,40,2,credit card,28,clear,light,915
Butwal,Bhaktapur,6.5,49,1,cash,19,rainy,light,1346
Chitwan,Birgunj,6.9,19,4,credit card,24,rainy,heavy,2089
Birgunj,Kathmandu,2.6,7,3,credit card,18,rainy,moderate,659
Patan,Kathmandu,9.8,31,3,credit card,30,rainy,moderate,1910
Biratnagar,Pokhara,8.5,56,4,credit card,21,rainy,light,2143
Butwal,Pokhara,2.8,15,4,cash,24,cloudy,moderate,580
Kathmandu,Pokhara,4.1,11,3,cash,26,cloudy,heavy,1024
Kathmandu,Pokhara,5.0,8,4,cash,30,clear,light,791
Birgunj,Chitwan,8.9,47,2,credit card,23,clear,heavy,2609
Chitwan,Kathmandu,8.0,49,4,cash,21,rainy,moderate,1592
Pokhara,Birgunj,4.9,51,4,cash,23,clear,heavy,1843
Patan,Butwal,1.0,58,2,cash,30,rainy,moderate,898
Butwal,Chitwan,4.3,7,3,cash,20,cloudy,moderate,661
Kathmandu,Biratnagar,0.7,15,1,cash,28,rainy,heavy,433
Lalitpur,Dharan,7.6,38,4,cash,26,cloudy,light,1326
Kathmandu,Patan,9.6,13,1,credit card,30,cloudy,moderate,1395
Bhaktapur,Kathmandu,9.6,43,4,cash,29,rainy,heavy,2581
Pokhara,Kathmandu,6.5,22,4,cash,24,clear,moderate,1072
Kathmandu,Chitwan,6.2,18,3,cash,28,rainy,light,1017
Lalitpur,Biratnagar,0.7,36,3,credit card,17,cloudy,heavy,1038
Kathmandu,Butwal,8.4,53,3,cash,25,clear,heavy,2310
Lalitpur,Bhaktapur,4.8,10,4,cash,20,rainy,heavy,1257
Birgunj,Lalitpur,9.3,20,3,cash,22,cloudy,heavy,1951
Dharan,Kathmandu,7.0,45,1,credit card,15,rainy,light,1589
Pokhara,Lalitpur,8.9,10,3,cash,28,rainy,heavy,1851
Patan,Dharan,6.7,20,4,cash,20,rainy,moderate,1195
Dharan,Butwal,8.4,45,2,credit card,24,clear,heavy,2498
Lalitpur,Pokhara,6.6,54,2,credit card,25,cloudy,moderate,1531
Bhaktapur,Birgunj,3.9,14,3,credit card,28,cloudy,moderate,831
Birgunj,Biratnagar,3.2,14,4,credit card,28,rainy,moderate,911
Dharan,Pokhara,7.3,5,1,credit card,19,clear,heavy,1493
Biratnagar,Birgunj,8.7,24,1,cash,16,clear,light,1163
Butwal,Biratnagar,7.6,39,2,credit card,25,rainy,moderate,1634
Butwal,Biratnagar,3.5,20,4,credit card,21,cloudy,heavy,1351
Biratnagar,Dharan,7.3,43,1,cash,30,clear,moderate,1191
Butwal,Dharan,3.7,28,3,credit card,22,rainy,moderate,1052
Chitwan,Biratnagar,7.0,43,2,cash,28,cloudy,moderate,1264
Biratnagar,Butwal,9.6,48,4,credit card,26,clear,moderate,1965
Chitwan,Biratnagar,9.7,48,4,credit card,23,cloudy,light,1992
Butwal,Chitwan,3.6,45,2,credit card,27,clear,light,1118
Birgunj,Pokhara,6.4,36,3,credit card,23,cloudy,light,1342
Dharan,Biratnagar,5.1,14,1,credit card,20,clear,heavy,1294
Kathmandu,Dharan,6.8,11,1,credit card,30,clear,heavy,1471
Butwal,Lalitpur,3.2,34,4,credit card,24,rainy,heavy,1727
Bhaktapur,Lalitpur,7.8,15,4,cash,23,rainy,light,1267
Kathmandu,Chitwan,5.7,16,3,cash,21,clear,heavy,1310
Lalitpur,Dharan,8.1,8,4,credit card,21,clear,moderate,1302
Chitwan,Lalitpur,3.8,56,3,cash,17,cloudy,moderate,1137
Pokhara,Kathmandu,4.7,53,4,cash,15,rainy,light,1276
Lalitpur,Kathmandu,5.1,17,2,credit card,19,clear,light,937
Kathmandu,Patan,8.8,49,3,credit card,17,rainy,moderate,1974
Bhaktapur,Kathmandu,6.4,16,1,cash,23,rainy,light,926
Pokhara,Lalitpur,9.7,6,1,cash,24,cloudy,heavy,1574
Lalitpur,Kathmandu,3.3,19,3,cash,22,cloudy,heavy,998
Patan,Bhaktapur,2.3,44,2,credit card,25,clear,heavy,1403
Kathmandu,Dharan,4.3,45,4,credit card,25,rainy,moderate,1471
Birgunj,Patan,1.6,38,3,cash,30,cloudy,heavy,1084
Biratnagar,Pokhara,10.0,28,4,cash,27,cloudy,light,1474
Birgunj,Kathmandu,6.4,11,2,credit card,15,cloudy,moderate,1029
Bhaktapur,Kathmandu,1.2,25,2,cash,23,cloudy,moderate,485
Bhaktapur,Birgunj,3.8,28,3,cash,17,cloudy,moderate,774
Patan,Pokhara,8.2,37,1,credit card,29,rainy,light,1588
Bhaktapur,Biratnagar,0.8,59,1,credit card,25,clear,heavy,1321
Bhaktapur,Butwal,3.9,51,2,cash,28,cloudy,light,1008
Chitwan,Kathmandu,9.3,17,4,cash,22,cloudy,moderate,1330
Butwal,Birgunj,1.1,14,1,credit card,20,cloudy,light,332
Butwal,Dharan,2.8,11,3,cash,21,clear,moderate,567
Pokhara,Butwal,9.3,25,2,cash,30,cloudy,heavy,1943
Pokhara,Lalitpur,8.1,32,2,cash,15,cloudy,moderate,1217
Biratnagar,Pokhara,3.2,41,3,credit card,18,cloudy,moderate,1060
Butwal,Pokhara,5.8,47,4,cash,19,clear,moderate,1293
Dharan,Patan,5.1,5,4,cash,17,clear,moderate,764
Birgunj,Biratnagar,5.6,47,2,cash,22,cloudy,light,1114
Dharan,Biratnagar,5.9,59,4,credit card,29,rainy,moderate,1786
Birgunj,Patan,8.1,35,3,credit card,28,rainy,heavy,2626
Kathmandu,Dharan,5.4,54,4,cash,30,cloudy,moderate,1259
Chitwan,Birgunj,4.0,22,4,cash,24,clear,heavy,1235
Patan,Butwal,9.4,29,4,cash,19,cloudy,moderate,1434
Bhaktapur,Lalitpur,2.3,59,1,credit card,17,cloudy,light,1008
Lalitpur,Kathmandu,4.1,47,2,credit card,19,cloudy,moderate,1141
Pokhara,Birgunj,0.5,55,1,credit card,28,cloudy,moderate,760
Biratnagar,Bhaktapur,6.1,53,4,cash,16,clear,light,1381
Dharan,Chitwan,7.5,48,1,credit card,29,cloudy,moderate,1540
Butwal,Biratnagar,7.0,34,2,cash,21,rainy,heavy,1894
Birgunj,Kathmandu,7.3,60,4,credit card,24,cloudy,heavy,2712
Kathmandu,Chitwan,1.4,28,4,credit card,30,clear,light,707
Lalitpur,Butwal,7.4,30,3,cash,29,rainy,heavy,2004
Bhaktapur,Lalitpur,1.1,28,1,cash,26,clear,moderate,426
Pokhara,Patan,1.8,6,1,credit card,20,clear,light,341
Pokhara,Dharan,1.4,12,3,credit card,16,cloudy,light,483
Patan,Bhaktapur,8.9,30,2,credit card,19,clear,light,1580
Biratnagar,Chitwan,3.2,17,4,credit card,29,rainy,heavy,1396
Kathmandu,Patan,2.0,57,2,credit card,24,cloudy,light,1088
Dharan,Bhaktapur,6.6,32,4,credit card,15,rainy,light,1510
Butwal,Lalitpur,6.3,40,4,credit card,27,clear,light,1500
Butwal,Dharan,1.6,51,4,credit card,26,cloudy,heavy,1544
Bhaktapur,Lalitpur,1.4,34,3,cash,29,clear,heavy,914
Patan,Kathmandu,9.1,43,3,credit card,30,rainy,moderate,1981
Chitwan,Biratnagar,7.7,31,2,cash,21,rainy,heavy,1989
Bhaktapur,Lalitpur,7.8,7,2,cash,21,cloudy,moderate,921
Biratnagar,Lalitpur,6.1,37,4,cash,20,cloudy,light,1207
Dharan,Lalitpur,3.7,17,1,cash,30,rainy,moderate,692
Biratnagar,Patan,5.3,33,4,cash,26,rainy,heavy,1760
Birgunj,Dharan,5.5,19,1,cash,25,clear,light,794
Lalitpur,Butwal,2.1,29,1,cash,16,cloudy,heavy,843
Kathmandu,Bhaktapur,4.1,60,2,credit card,19,clear,heavy,1948
Patan,Biratnagar,8.5,54,2,credit card,27,clear,light,1756
Bhaktapur,Chitwan,2.9,12,4,credit card,26,rainy,light,763
Lalitpur,Kathmandu,4.1,52,3,cash,15,rainy,light,1146
Bhaktapur,Birgunj,0.9,38,4,cash,23,clear,heavy,1025
Butwal,Birgunj,4.6,56,3,credit card,20,rainy,light,1512
Chitwan,Pokhara,5.6,5,4,cash,22,cloudy,light,821
Chitwan,Dharan,1.8,17,2,credit card,25,rainy,light,564
Pokhara,Biratnagar,7.0,16,1,credit card,28,rainy,light,1167
Biratnagar,Kathmandu,0.8,59,3,cash,17,rainy,moderate,890
Chitwan,Dharan,3.0,58,3,cash,23,cloudy,light,1044
Bhaktapur,Lalitpur,4.8,29,2,credit card,15,rainy,light,1116
Lalitpur,Pokhara,4.4,39,2,cash,30,clear,light,966
Patan,Kathmandu,8.3,59,2,cash,16,clear,heavy,2281
Dharan,Pokhara,1.3,34,2,cash,19,cloudy,moderate,531
Pokhara,Chitwan,8.3,20,1,cash,29,cloudy,moderate,1040
Dharan,Butwal,8.6,22,3,cash,16,cloudy,heavy,1876
Chitwan,Lalitpur,8.9,34,1,credit card,24,rainy,light,1736
Chitwan,Kathmandu,1.2,18,2,credit card,21,rainy,moderate,492
Kathmandu,Bhaktapur,6.7,53,1,credit card,29,clear,heavy,2268
Pokhara,Biratnagar,4.8,27,4,credit card,26,cloudy,moderate,1152
Patan,Kathmandu,6.9,44,2,cash,28,rainy,moderate,1321
Patan,Chitwan,3.9,7,3,credit card,24,rainy,heavy,1202
Butwal,Patan,4.8,57,4,cash,16,clear,heavy,1850
Dharan,Chitwan,3.6,35,1,cash,27,rainy,light,809
Butwal,Kathmandu,7.9,34,3,credit card,22,cloudy,light,1518
Butwal,Pokhara,2.5,37,2,credit card,29,cloudy,light,843
Birgunj,Bhaktapur,8.9,57,1,credit card,28,cloudy,heavy,2702
Lalitpur,Birgunj,9.0,54,3,credit card,15,clear,moderate,1929
Chitwan,Biratnagar,9.5,9,3,cash,21,clear,light,1197
Patan,Lalitpur,9.6,44,1,credit card,17,clear,heavy,2565
Lalitpur,Kathmandu,7.3,48,2,credit card,18,cloudy,heavy,2358
Pokhara,Birgunj,9.0,51,3,credit card,22,rainy,heavy,3088
Pokhara,Patan,4.7,15,3,cash,24,clear,moderate,731
Biratnagar,Dharan,3.9,28,3,cash,17,rainy,moderate,922
Birgunj,Biratnagar,5.9,16,3,credit card,21,cloudy,heavy,1578
Pokhara,Bhaktapur,1.4,20,1,cash,16,cloudy,heavy,554
Biratnagar,Dharan,8.5,45,4,cash,19,clear,moderate,1518
Dharan,Chitwan,4.2,41,4,cash,18,cloudy,moderate,1001
Butwal,Kathmandu,7.8,47,3,cash,26,rainy,light,1504
Butwal,Pokhara,4.4,8,1,credit card,25,clear,moderate,715
Kathmandu,Dharan,1.3,47,2,cash,25,cloudy,moderate,716
Pokhara,Butwal,10.0,23,1,credit card,23,clear,light,1562
Bhaktapur,Butwal,6.1,46,4,cash,17,cloudy,light,1288
Butwal,Lalitpur,8.5,13,3,credit card,28,rainy,heavy,2230
Bhaktapur,Dharan,9.7,49,2,cash,20,clear,moderate,1606
Butwal,Patan,2.3,10,4,cash,22,clear,heavy,745
Birgunj,Kathmandu,3.7,16,3,cash,28,cloudy,heavy,1015
Lalitpur,Chitwan,5.6,58,3,credit card,23,cloudy,light,1541
Pokhara,Lalitpur,8.1,48,3,credit card,27,cloudy,moderate,1745
Birgunj,Bhaktapur,6.8,37,4,cash,23,rainy,heavy,2078
Patan,Birgunj,1.9,53,2,cash,30,cloudy,moderate,783
Bhaktapur,Patan,8.0,31,4,credit card,17,rainy,light,1737
Chitwan,Biratnagar,6.1,17,4,credit card,17,rainy,light,1293
Birgunj,Lalitpur,8.9,46,3,cash,18,rainy,moderate,1604
Patan,Lalitpur,7.2,14,2,cash,25,rainy,moderate,1091
Lalitpur,Biratnagar,4.8,31,3,cash,18,cloudy,heavy,1423
Chitwan,Birgunj,6.8,46,4,credit card,23,rainy,moderate,1777
Birgunj,Pokhara,9.5,13,1,credit card,19,cloudy,heavy,2084
Pokhara,Chitwan,6.2,17,2,credit card,28,cloudy,light,1077
Dharan,Birgunj,10.0,19,2,cash,16,clear,light,1240
Lalitpur,Kathmandu,6.6,33,3,credit card,21,cloudy,light,1320
Patan,Bhaktapur,2.1,21,4,credit card,16,rainy,heavy,1200
Birgunj,Biratnagar,6.7,51,2,cash,15,rainy,moderate,1390
Chitwan,Pokhara,9.6,51,4,credit card,17,cloudy,light,1999
Biratnagar,Birgunj,0.5,47,4,credit card,18,clear,light,902
Chitwan,Lalitpur,8.1,15,4,cash,17,rainy,moderate,1287
Butwal,Dharan,3.5,52,3,cash,22,clear,moderate,976
Lalitpur,Dharan,2.2,56,4,cash,18,clear,moderate,1009
Butwal,Pokhara,4.3,19,1,cash,23,rainy,moderate,779
Bhaktapur,Patan,4.9,54,4,credit card,19,cloudy,moderate,1494
Biratnagar,Dharan,9.5,45,4,cash,21,rainy,light,1738
Pokhara,Biratnagar,8.1,20,1,cash,29,cloudy,heavy,1630
Pokhara,Patan,5.7,31,3,cash,15,cloudy,moderate,1020
Chitwan,Bhaktapur,5.7,56,2,cash,25,clear,heavy,1873
Birgunj,Bhaktapur,6.7,10,4,credit card,30,cloudy,moderate,1121
Pokhara,Birgunj,9.0,29,2,credit card,27,clear,light,1504
Dharan,Chitwan,8.8,49,1,cash,26,cloudy,light,1400
Butwal,Pokhara,7.1,9,3,credit card,24,clear,heavy,1758
Kathmandu,Chitwan,8.1,27,1,cash,22,clear,heavy,1692
Dharan,Biratnagar,5.8,19,1,cash,25,rainy,moderate,855
